split_id,seq1_time,c0_c1_copy_time,seq2_time,seq_fc_time,mb_device_0_start_time,mb_device_0_end_time,c0_c1_cp_start_time,c0_c1_cp_end_time,mb_device_1_start_time,mb_device_1_end_time,mb_fc_start_time,mb_fc_end_time,mb_device_0_start_datetime,mb_device_0_end_datetime,c0_c1_cp_start_datetime,c0_c1_cp_end_datetime,mb_device_1_start_datetime,mb_device_1_end_datetime,mb_fc_start_datetime,mb_fc_end_datetime
40,0.008548974990844727,9.1552734375e-05,0.08853626251220703,0.0003876686096191406,1581696710.572735,1581696710.581284,1581696710.581288,1581696710.5813797,1581696710.5813835,1581696710.6699197,1581696710.6699238,1581696710.6703115,2020-02-14 11:11:50.572735,2020-02-14 11:11:50.581285,2020-02-14 11:11:50.581288,2020-02-14 11:11:50.581380,2020-02-14 11:11:50.581383,2020-02-14 11:11:50.669921,2020-02-14 11:11:50.669924,2020-02-14 11:11:50.670312
41,0.007690906524658203,9.012222290039062e-05,0.08927774429321289,0.0003743171691894531,1581696710.670362,1581696710.678053,1581696710.678057,1581696710.678147,1581696710.6781511,1581696710.7674289,1581696710.767433,1581696710.7678072,2020-02-14 11:11:50.670362,2020-02-14 11:11:50.678054,2020-02-14 11:11:50.678057,2020-02-14 11:11:50.678148,2020-02-14 11:11:50.678151,2020-02-14 11:11:50.767430,2020-02-14 11:11:50.767433,2020-02-14 11:11:50.767808
42,0.008553743362426758,8.0108642578125e-05,0.08804583549499512,0.0003688335418701172,1581696710.7678585,1581696710.7764122,1581696710.7764163,1581696710.7764964,1581696710.7765,1581696710.8645458,1581696710.8645499,1581696710.8649187,2020-02-14 11:11:50.767859,2020-02-14 11:11:50.776413,2020-02-14 11:11:50.776416,2020-02-14 11:11:50.776497,2020-02-14 11:11:50.776500,2020-02-14 11:11:50.864547,2020-02-14 11:11:50.864550,2020-02-14 11:11:50.864920
43,0.008547067642211914,9.918212890625e-05,0.08637356758117676,0.0003554821014404297,1581696710.86497,1581696710.873517,1581696710.873521,1581696710.8736203,1581696710.8736243,1581696710.959998,1581696710.960002,1581696710.9603574,2020-02-14 11:11:50.864970,2020-02-14 11:11:50.873518,2020-02-14 11:11:50.873521,2020-02-14 11:11:50.873621,2020-02-14 11:11:50.873624,2020-02-14 11:11:50.959999,2020-02-14 11:11:50.960002,2020-02-14 11:11:50.960358
44,0.008545398712158203,8.988380432128906e-05,0.08698582649230957,0.0003712177276611328,1581696710.9604087,1581696710.968954,1581696710.9689581,1581696710.969048,1581696710.9690518,1581696711.0560377,1581696711.0560417,1581696711.056413,2020-02-14 11:11:50.960409,2020-02-14 11:11:50.968955,2020-02-14 11:11:50.968958,2020-02-14 11:11:50.969049,2020-02-14 11:11:50.969052,2020-02-14 11:11:51.056039,2020-02-14 11:11:51.056042,2020-02-14 11:11:51.056414
45,0.00863027572631836,9.1552734375e-05,0.08842658996582031,0.00037360191345214844,1581696711.0564656,1581696711.065096,1581696711.0651002,1581696711.0651917,1581696711.0651953,1581696711.153622,1581696711.1536262,1581696711.1539998,2020-02-14 11:11:51.056465,2020-02-14 11:11:51.065097,2020-02-14 11:11:51.065100,2020-02-14 11:11:51.065192,2020-02-14 11:11:51.065195,2020-02-14 11:11:51.153623,2020-02-14 11:11:51.153626,2020-02-14 11:11:51.154001
46,0.008546590805053711,7.486343383789062e-05,0.08852100372314453,0.0003676414489746094,1581696711.1540918,1581696711.1626384,1581696711.1626425,1581696711.1627173,1581696711.162721,1581696711.251242,1581696711.2512457,1581696711.2516134,2020-02-14 11:11:51.154092,2020-02-14 11:11:51.162639,2020-02-14 11:11:51.162642,2020-02-14 11:11:51.162718,2020-02-14 11:11:51.162721,2020-02-14 11:11:51.251243,2020-02-14 11:11:51.251246,2020-02-14 11:11:51.251614
47,0.008575677871704102,7.62939453125e-05,0.08848881721496582,0.0003619194030761719,1581696711.2516642,1581696711.2602398,1581696711.260244,1581696711.2603202,1581696711.2603238,1581696711.3488126,1581696711.3488166,1581696711.3491786,2020-02-14 11:11:51.251664,2020-02-14 11:11:51.260241,2020-02-14 11:11:51.260244,2020-02-14 11:11:51.260321,2020-02-14 11:11:51.260324,2020-02-14 11:11:51.348814,2020-02-14 11:11:51.348816,2020-02-14 11:11:51.349179
48,0.008557558059692383,7.414817810058594e-05,0.08852839469909668,0.0003752708435058594,1581696711.3492293,1581696711.357787,1581696711.3577912,1581696711.3578653,1581696711.3578691,1581696711.4463975,1581696711.4464016,1581696711.4467769,2020-02-14 11:11:51.349229,2020-02-14 11:11:51.357788,2020-02-14 11:11:51.357791,2020-02-14 11:11:51.357866,2020-02-14 11:11:51.357869,2020-02-14 11:11:51.446399,2020-02-14 11:11:51.446401,2020-02-14 11:11:51.446778
49,0.008585453033447266,9.942054748535156e-05,0.08846139907836914,0.00036644935607910156,1581696711.4468293,1581696711.4554148,1581696711.4554188,1581696711.4555182,1581696711.455522,1581696711.5439835,1581696711.5439875,1581696711.544354,2020-02-14 11:11:51.446829,2020-02-14 11:11:51.455416,2020-02-14 11:11:51.455419,2020-02-14 11:11:51.455519,2020-02-14 11:11:51.455522,2020-02-14 11:11:51.543984,2020-02-14 11:11:51.543987,2020-02-14 11:11:51.544355
50,0.008548736572265625,7.605552673339844e-05,0.08846163749694824,0.00038242340087890625,1581696711.5444055,1581696711.5529542,1581696711.5529583,1581696711.5530343,1581696711.5530376,1581696711.6414993,1581696711.6415036,1581696711.641886,2020-02-14 11:11:51.544406,2020-02-14 11:11:51.552955,2020-02-14 11:11:51.552958,2020-02-14 11:11:51.553035,2020-02-14 11:11:51.553037,2020-02-14 11:11:51.641500,2020-02-14 11:11:51.641503,2020-02-14 11:11:51.641887
51,0.0077114105224609375,8.249282836914062e-05,0.08936238288879395,0.00037550926208496094,1581696711.641938,1581696711.6496494,1581696711.6496534,1581696711.649736,1581696711.6497395,1581696711.739102,1581696711.739106,1581696711.7394814,2020-02-14 11:11:51.641938,2020-02-14 11:11:51.649651,2020-02-14 11:11:51.649653,2020-02-14 11:11:51.649736,2020-02-14 11:11:51.649739,2020-02-14 11:11:51.739103,2020-02-14 11:11:51.739106,2020-02-14 11:11:51.739482
52,0.008616924285888672,8.893013000488281e-05,0.08838844299316406,0.0003864765167236328,1581696711.739532,1581696711.748149,1581696711.748153,1581696711.748242,1581696711.748246,1581696711.8366344,1581696711.8366385,1581696711.837025,2020-02-14 11:11:51.739532,2020-02-14 11:11:51.748150,2020-02-14 11:11:51.748153,2020-02-14 11:11:51.748243,2020-02-14 11:11:51.748246,2020-02-14 11:11:51.836635,2020-02-14 11:11:51.836638,2020-02-14 11:11:51.837026
